Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature;;;;;;;;;
"spotify:track:6elfKlMH2OLGQ8ULdkYd9x,""Nuestra Noche"",""Nuestra Noche"",""Diken Mc"",2021-10-29,193504,45,false,,2026-03-30T20:14:35Z,"""",""Diken Mc - Oficial"",0.703,0.485,7,-10.318,1,0.0721,0.423,0,0.295,0.73,84.992,4";;;;;;;;;
"spotify:track:2kZ2w0URcT9ZVbVoJM9uNL,""Como Yo Te Amo"",""Blanco el Sucio (Clásicos), Vol. 1"",""Fondo Blanco"",2022-12-15,196127,51,true,,2026-03-30T20:14:05Z,""hip hop latino"",""Fondo Blanco 19"",0.759,0.3,1,-16.527,1,0.0919,0.0336,0.000114,0.111,0.302,89.995,4";;;;;;;;;
"spotify:track:5jyZJJ0IPrXrMVd6cDgLf1,""Amorsura"",""Rompe Cabezas"",""Clafseis"",2012-03-01,235409,42,false,,2026-03-30T20:07:51Z,""hip hop latino"",""DeGenErrado"",0.733,0.707,5,-6.676,0,0.0642,0.211,0,0.242,0.582,83.031,4";;;;;;;;;
"spotify:track:2ejhfcRm60F1qpBazNlJCw,""Castillos de Papel"",""Banda Sonora: Las Tetas de Mi Madre"",""Crack Family"",2015-12-18,218106,52,true,,2026-03-30T20:04:00Z,""hip hop latino"",""Crack Home Music"",0.55,0.553,9,-14.413,0,0.532,0.71,0,0.0939,0.656,81.047,4";;;;;;;;;
"spotify:track:56ZeMj2XsXTD2AMRqmQcX1,""Dame un Poquito de Ti"",""Dame un Poquito de Ti"",""Big Stan"",2021-09-17,232228,51,false,,2026-03-30T19:59:23Z,""hip hop latino"",""Big Stan"",0.799,0.346,2,-7.781,0,0.0661,0.673,0,0.0882,0.477,79.8,4";;;;;;;;;
"spotify:track:6IiLE58op045rmV3fp33a2,""Estrella, Luna y Tierra"",""DEJEN LA BULLA"",""Big Stan"",2015-09-19,136254,44,false,,2026-03-30T19:53:50Z,""hip hop latino"",""Big Stan"",0.761,0.559,3,-10.294,0,0.51,0.0293,0,0.097,0.273,82.514,4";;;;;;;;;
"spotify:track:2Honklohe9Jg9tv24YkCZC,""Me Volví Loco"",""Buena Suerte"",""King Kong Click";Bubaseta;"Subwoffer"",2013-05-24,194168,59,false,,2026-03-30T19:52:25Z,""hip hop latino"",""King Kong Click"",0.697,0.59,6,-6,1,0.539,0.102,0,0.0718,0.913,178.148,4";;;;;;;
"spotify:track:2vWUBOmMS1W6x2dhovTp97,""Luna - En Vivo"",""MTV Unplugged Música De Fondo"",""Zoé"",2011-01-01,280419,58,false,,2026-03-30T19:51:23Z,""rock en español,rock mexicano,indie mexicano,alternativa latina,indie latino,rock latino"",""EMI Mexico"",0.216,0.461,9,-9.34,0,0.0313,0.136,0.000575,0.754,0.149,180.012,3";;;;;;;;;
"spotify:track:6mzQmJnyAaaHg9WeASMKgz,""No Mientas"",""No Mientas"",""Malucci";"Ele A El Dominio"",2019-05-17,237923,30,true,,2026-03-30T07:42:09Z,""trap latino,trap"",""Third World Gang"",0.832,0.658,1,-7.161,1,0.086,0.0899,0.0000168,0.163,0.225,129.912,4";;;;;;;;
"spotify:track:5yJaXWIErrrsjQ3J0eR5aK,""The Night We Met"",""Strange Trails"",""Lord Huron"",2015-04-07,208226,91,false,,2026-03-30T06:09:49Z,"""",""Lord Huron"",0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3";;;;;;;;;
